# data_kind=vectorized_published_figure_reference
# manuscript_figure=Fig. 11
# source_sha256=389f612b8b8a059bcc62c061f53a12b9168cec34c52785bc5bafcbb7e2e8e8a4
# y_axis_calibration=[1.3,2.3]
# displayed_time_grid=0.1,0.2,...,100.1; the manuscript does not document its conversion to Floquet layers
displayed_time,theta_0.30_pi,theta_0.35_pi,theta_0.40_pi,theta_0.45_pi,theta_0.50_pi
56.3,1.385940353440,1.459467010105,1.512060500081,1.544343319986,1.556141750608
56.4,1.384116301732,1.457693626963,1.510308832304,1.542635081085,1.554433511707
56.5,1.383073986471,1.456781600183,1.509498142656,1.541867820313,1.553695205990
56.6,1.382400824994,1.456282156064,1.509121751034,1.541578290149,1.553420149648
56.7,1.381423653974,1.455449752904,1.508405158829,1.540941317858,1.552812132412
56.8,1.380381338712,1.454501535085,1.507551038452,1.540166821102,1.552088302369
56.9,1.379990471415,1.454168574192,1.507297699326,1.540000339729,1.551972489562
57.0,1.380859067467,1.455051645918,1.508216963944,1.540948557549,1.552949658730
57.1,1.382408064685,1.456564452097,1.509686339394,1.542388979797,1.554375603451
57.2,1.383486570985,1.457512668063,1.510533220081,1.543170716243,1.555128388548
57.3,1.383435900566,1.457324471325,1.510250924048,1.542823277822,1.554751996926
57.4,1.381981004496,1.455833384217,1.508723644047,1.541274280605,1.553217475383
57.5,1.379382452327,1.453415790947,1.506472532151,1.539138983368,1.551132844860
57.6,1.376602944963,1.450969246330,1.504286566349,1.537162925962,1.549258126439
57.7,1.375053949598,1.449608443996,1.503099485079,1.536098897189,1.548252004069
57.8,1.374851277186,1.449376818383,1.502831666573,1.535816603009,1.547947994525
57.9,1.375024996396,1.449449200460,1.502824428736,1.535744220931,1.547846657392
58.0,1.374894707915,1.449304436305,1.502650709526,1.535556024194,1.547658460655
58.1,1.374576222696,1.449029379962,1.502419083912,1.535353351782,1.547470265770
58.2,1.374880232240,1.449333387654,1.502730331294,1.535657359473,1.547774273462
58.3,1.375850163571,1.450288845163,1.503664073439,1.536569386253,1.548686300242
58.4,1.376400274404,1.450940291275,1.504402379156,1.537387313738,1.549525944944
58.5,1.375973214215,1.450708665661,1.504329995225,1.537437982305,1.549627278371
58.6,1.374836801511,1.449666350400,1.503374539569,1.536540431199,1.548758684173
58.7,1.373389141426,1.448175259585,1.501847259568,1.534969722322,1.547166258079
58.8,1.372202058303,1.446901318710,1.500479219398,1.533529298221,1.545704122319
58.9,1.371854619882,1.446445307173,1.499929108565,1.532921282838,1.545067150028
59.0,1.372404732568,1.446908558400,1.500319977715,1.533254243731,1.545363921736
59.1,1.373591811985,1.447972589026,1.501289909046,1.534151792984,1.546225278097
59.2,1.374836801511,1.449101762040,1.502303271105,1.535063819765,1.547079396621
59.3,1.375604060430,1.449796638881,1.502940241543,1.535657359473,1.547651222818
59.4,1.375734350764,1.449999313146,1.503215297886,1.535990322219,1.548020378456
59.5,1.375256622010,1.449695305454,1.503056054350,1.535939653653,1.548020378456
59.6,1.373924774731,1.448493746657,1.501970310212,1.534948006958,1.547079396621
59.7,1.372411970405,1.447046086572,1.500587794367,1.533616159679,1.545776504397
59.8,1.371557851881,1.446242634761,1.499813295758,1.532877852109,1.545038196827
59.9,1.371145267367,1.445902434178,1.499538241269,1.532631750821,1.544821048740
60.0,1.370566203333,1.445424707276,1.499118418917,1.532262597036,1.544459132792
60.1,1.369878564329,1.444802212513,1.498568309938,1.531748677243,1.543952450836
60.2,1.369596272002,1.444512680496,1.498278776068,1.531459147078,1.543670158509
60.3,1.369437030319,1.444324485611,1.498047150454,1.531198566410,1.543395104019
60.4,1.369371884226,1.444158004238,1.497801049166,1.530909034393,1.543083856638
60.5,1.369784468740,1.444425820891,1.497960290849,1.530981416471,1.543134523351
60.6,1.370291148843,1.444802212513,1.498220871517,1.531155137534,1.543272053375
60.7,1.370508296930,1.444896309955,1.498206392137,1.531075515766,1.543156240569
